,units,param_type
3765,Nanogram per milliliter (ng/mL),Median
3766,Kilogram/m^2,Mean
3767,scans,Number
3768,Percentage of Bone Marrow Blasts,Mean
3769,Seizures,Mean
3770,10³ cells/mm³,Median
3771,ng/kg/min,Mean
3772,microunits/mL,Mean
3773,log10 c/mL,Mean
3774,Years of age,Mean
3775,kilograms (kg),Median
3776,inches,Median
3777,treatment course,Mean
3778,units on a 0-70 scale (higher is worse),Mean
3779,micturitions/24 hours,Mean
3780,A1C Percentage,Mean
3781,units on a scale,Mean
3782,Blocks moved,Median
3783,scores on a scale SF-36 general health,Mean
3784,(kg/m2),Median
3785,Unit on scale,Mean
3786,lesion,Number
3787,doses per week,Median
3788,millilitres,Mean
3789,US dollars,Median
3790,% Ejection Fraction,Mean
3791,U/ml,Geometric Mean
3792,mm of mercury,Mean
3793,log(10) CFU/ml,Mean
3794,mf/ml,Geometric Mean
3795,Percentage of FEV1/FVC,Mean
3796,ratio of Triglycerides-to-HDL,Mean
3797,Percent of body weight,Median
3798,logMAR,Mean
3799,microgram per liter,Mean
3800,Litre,Mean
3801,log10 (ms),Mean
3802,meters/second,Mean
3803,Fluoresence intensity unit,Mean
3804,months,Median
3805,CH attacks,Mean
3806,millimeter square (mm^2),Mean
3807,units on NPH-NH scale,Mean
3808,Ratio of CH2 (methylene) to H2O (water),Median
3809,kg / m ^ 2,Mean
3810,umol/mL,Mean
3811,kg^m2,Mean
3812,percentage difference in circumferences,Mean
3813,eggs per gram of stool,Median
3814,log10 copies/106 PBMC,Median
3815,percent of lesions,Number
3816,micrograms/milliliter (μg/mL),Mean
3817,Beats/min,Mean
3818,p falciparum /mcl,Mean
3819,spontaneous bowel movements,Mean
3820,Prior Treatments,Mean
3821,Impedance (Ω),Mean
3822,NCCLs restorations,Count of Units
3823,Country,Number
3824,M^2,Mean
3825,eyes,Count of Units
3826,m/kg^2,Mean
3827,hot flash score,Mean
3828,MJ use occasions per day,Mean
3829,HOMA IR,Mean
3830,number of lesions,Number
3831,lb/in^2x703,Median
3832,PERCENTAGE,Mean
3833,scale scores,Mean
3834,Inflammatory Lesion,Mean
3835,Age at least 18 years,Number
3836,Centimeter of water,Mean
3837,coughs/hour,Mean
3838,log10 copies/milliliter (mL),Mean
3839,hips,Count of Units
3840,Participants with carcinoma type,Number
3841,kg/m^2,Number
3842,falls,Mean
3843,No. BEs per patient per year,Mean
3844,sutures,Mean
3845,centimetres of water at (cm H2O),Mean
3846,Joints,Mean
3847,International units per kilogram (IU/kg),Mean
3848,HbA1c%,Mean
3849,Drinking Days,Mean
3850,Hips,Count of Units
3851,milliliter per minute (mL/min),Mean
3852,(ml/kg/min)/(microIU/ml),Mean
3853,pg/mg Creatinine,Mean
3854,milliliters per beat,Mean
3855,Paticipants,Number
3856,live lice,Mean
3857,nanomole per liter (nmol/L),Mean
3858,Sites,Number
3859,MoCA score,Mean
3860,cell *10^9/L,Mean
3861,percentage impairment time,Mean
3862,percentage of android fat,Median
3863,mmol/L*hour,Mean
3864,cells ×10^3/μL,Median
3865,number of inflammatory lesion,Mean
3866,millimeters of mercury (mmHg),Mean
3867,percentage of red blood cells,Mean
3868,degrees Celsius,Mean
3869,total weekly walking minutes,Mean
3870,days,Mean
3871,Elbows,Number
3872,nanogrames per milliliter (ng/mL),Median
3873,U/l,Mean
3874,units/kg per day,Mean
3875,Cells per cubic millimeter (cells/mm^3),Median
3876,nocturia episodes/week,Mean
3877,kilograms per squared meter,Mean
3878,hours per week,Mean
3879,10^9 cells/l,Median
3880,Kilograms/meters squared,Mean
3881,%-points,Mean
3882,percentage of total haemoglobin,Mean
3883,cigarettes per day for 1 year,Mean
3884,episodes of depression,Mean
3885,number of prior regimens,Median
3886,teeth,Mean
3887,Number of Subjects,Number
3888,inflammatory lesions,Mean
3889,square meters,Mean
3890,kcal/week,Mean
3891,Milligram per day (mg/day),Mean
3892,Voids/Day,Mean
3893,% of the predicted FEV1,Mean
3894,mL/min/1.73,Mean
3895,Number of pregnancies,Median
3896,liter/sec,Mean
3897,beds,Median
3898,m2,Median
3899,Number of conditions,Mean
3900,CD8+ cells/mm²,Mean
3901,cells/mm^2,Median
3902,degrees celsius,Mean
3903,drinks/week,Mean
3904,Number of comorbidities,Mean
3905,Coulomb,Mean
3906,CELLS/MM^3,Median
3907,post void dribbling episodes,Mean
3908,International Units,Median
3909,platelets x10^3 / µL,Median
3910,10^9 cells per liter (GI/L),Median
3911,microUI/mL,Mean
3912,Kilogramms,Mean
3913,kg/m*m,Mean
3914,micromols/kilogram of FFM/minute,Mean
3915,number of previous hospitlizations,Mean
3916,Percent change in circumference,Mean
3917,Percentage of Superficial Cells,Mean
3918,times per week,Mean
3919,participants,Number
3920,scale score,Mean
3921,community,Count of Units
3922,Lesions per scan,Mean
3923,U/I,Median
3924,METS-min/week,Mean
3925,pg/ML,Mean
3926,minutes per day,Mean
3927,percentage of predicted mortality,Mean
3928,Joints/participants,Mean
3929,beats/sec,Mean
3930,liters (L),Mean
3931,units on a scale,Geometric Mean
3932,Percentage of Time in a 24 Hour Period,Mean
3933,microUI/L,Mean
3934,Fraction,Mean
3935,kg/ m^2,Mean
3936,microMolar,Mean
3937,centimeter (cm)],Mean
3938,count of participants,Number
3939,Percentage of Predicted PEF,Mean
3940,ureterorenal units of participants,Number
3941,Trochars,Mean
3942,pregnancies,Mean
3943,number of alive cells x 10^6/kg,Mean
3944,ºC degrees,Mean
3945,ratio score,Mean
3946,meters^2,Mean
3947,percent of left atrial volume,Median
3948,migraine episodes,Mean
3949,microU/L) x fasting glucose (nmol/L)/22.,Median
3950,cm.,Mean
3951,dyne*second/centimeter˄5,Mean
3952,kilograms/square meter (kg/m2),Mean
3953,initial total raw score by group,Mean
3954,kilograms per meters-squared,Mean
3955,Scores on a severity scale,Median
3956,percentage of lean mass,Median
3957,T-score,Mean
3958,episodes per day,Mean
3959,Percent A1C,Mean
3960,percent,Number
3961,Percentage of Participants per School,Mean
3962,square centimetres,Median
3963,millions/mL,Median
3964,Volume % of red blood cells in blood,Mean
3965,gram per deciliter,Mean
3966,minutes/week,Mean
3967,Microseconds,Median
3968,percent of items correct on checklist,Median
3969,u/L,Mean
3970,μg/mL,Median
3971,% reactive,Mean
3972,vaginal deliveries,Median
3973,MCS score,Mean
3974,Years,Least Squares Mean
3975,centimeters,Mean
3976,foot pounds,Mean
3977,Implants,Number
3978,millimole per liter (mmol/L),Mean
3979,Percent of blood ejected from LV,Mean
3980,Sites exposed,Number
3981,hospital admissions,Mean
3982,age (years),Mean
3983,pmol/mL,Mean
3984,diopters,Mean
3985,cells/mm3,Median
3986,Percentage of SpO2,Mean
3987,μg/g,Mean
3988,diameters,Median
3989,participant from feeder studies,Number
3990,number of RNCM in-person visits,Mean
3991,percentage of total lymphocytes,Mean
3992,previous vaginal births,Median
3993,packs per year,Median
3994,number of criteria met,Mean
3995,nmol/g creatinine,Mean
3996,Number of successful pregnancies,Median
3997,Gy,Mean
3998,percent of body surface,Mean
3999,proportion of patients,Number
4000,prior treatments,Median
4001,kcal,Mean
4002,Percentage of predicted DLCO,Mean
4003,bowel movements/day,Mean
4004,cans or pouches per week,Mean
4005,µg/L,Mean
4006,microgram per milligram creatinine,Mean
4007,transfusions,Median
4008,percentage of predicted normal values,Mean
4009,L/min/m²,Mean
4010,kilogram per metre square (kg/m^2),Mean
4011,Degree,Mean
4012,% change from pre-albuterol lung functio,Mean
4013,pharmacists,Mean
4014,log(nmol/mg protein),Mean
4015,kg/m⌃2,Mean
4016,Sites,Median
4017,fat absorbed as percent of fat ingested,Mean
4018,prior treatment regimens,Median
4019,puffs of SABA/day,Mean
4020,kilogram-force (kgf),Mean
4021,g/m^2.7,Mean
4022,hubs per patient,Median
4023,centimeters of water,Median
4024,kg/meter (m)^2,Median
4025,Migraine days/month,Mean
4026,percent change from pre-exercise measure,Mean
4027,cells*10^3/uL,Median
4028,appointments,Mean
4029,episodes/day,Mean
4030,Nocturia Episodes,Mean
4031,logMAR Visual Acuity,Median
4032,kg/ (m^2),Mean
4033,Prism Diopters,Mean
4034,Joint,Mean
4035,HOMA score,Median
4036,Feet,Mean
4037,log10 c/mL,Median
4038,Total Activity Score,Mean
4039,total initial raw scores by group,Mean
4040,percent,Median
4041,units on a scale (range 17-85),Mean
4042,umol/mmol lipid,Mean
4043,years,Least Squares Mean
4044,attempts,Median
4045,Number of Headache Days,Mean
4046,nmol/L,Mean
4047,cm/sec,Mean
4048,T-score mean of 50,Mean
4049,units per 56 days,Median
4050,percentage of blood ejected,Mean
4051,UNITS ON A SCALE,Mean
4052,minutes/week,Median
4053,Pounds,Median
4054,parts per million,Median
4055,percentage of FVC % predicted,Least Squares Mean
4056,microgram/gram,Mean
4057,milliunit * mmol /liter^2(mU * mmol/L^2),Mean
4058,mU/liter,Mean
4059,Points on a scale,Mean
4060,sit-ups,Mean
4061,events,Median
4062,Max %-predicted,Mean
4063,Number of residents,Mean
4064,mean % of prescribed medication taken,Mean
4065,IEq/kg,Mean
4066,Percent change from baseline,Mean
4067,year,Geometric Mean
4068,cm H2O,Mean
4069,WEEKS,Mean
4070,Percentage of predicted,Median
4071,Square meter,Mean
4072,kg/(m^2),Median
4073,cells per cubic millimeter,Mean
4074,%Gag-specific CD107a+ CD8+ T-cells,Median
4075,Ratio of mRNA copy numbers (PAI-1/5HKGs),Mean
4076,milliliters per minute,Mean
4077,teaspoons/day,Median
4078,ohms,Mean
4079,millivolts (mV),Mean
4080,10⁹cells/L,Mean
4081,Injury Severity Scale Score,Median
4082,reported sex partners,Mean
4083,kg,Number
4084,Percentage of BSA,Mean
4085,pg/ml,Number
4086,mg/ dL,Mean
4087,weeks of gestation,Mean
4088,number of times per week,Mean
4089,Percentage of participants,Number
4090,[°C],Mean
4091,organ systems,Median
4092,weeks,Number
4093,g/minute,Mean
4094,proportion of days adherent,Mean
4095,NIHSS units,Median
4096,Liters/second (L/s),Median
4097,Diopters (D),Mean
4098,KG,Mean
4099,Percentage of oxyhemoglobin,Median
4100,meter (m)^2,Mean
4101,Treatments,Number
4102,beats / min,Mean
4103,Degrees Fahreinheit,Mean
4104,unitless,Median
4105,servings,Mean
4106,Hours,Mean
4107,fruits/day,Mean
4108,Kgs,Median
4109,Telangiectasia,Mean
4110,kilograms per meter^2,Mean
4111,IU/ml,Geometric Mean
4112,point score,Mean
4113,log10copies/mL,Median
4114,10^3 platelets/mm^3,Mean
4115,Sessions per day,Mean
4116,Units per liter (U/L),Mean
4117,grades,Mean
4118,frequency episodes,Mean
4119,milligram per deciliter (mg/dL),Mean
4120,co-morbid health problems,Mean
4121,seizures per 4 weeks,Median
4122,litre,Mean
4123,years at consent,Median
4124,Liters (L),Median
4125,percentage of medication taken,Mean
4126,score units,Mean
4127,Percent of Myeloblasts,Median
4128,number of skilled birth attendants,Mean
4129,IU/ml,Mean
4130,communities,Number
4131,purpuric lesions,Mean
4132,lbm (pound mass),Mean
4133,breaths/minute,Number
4134,event/hour,Mean
4135,Weight Percentile,Median
4136,%Gag-specific TNF-alpha CD8+ T-cells,Median
4137,UUI episodes,Mean
4138,# of days drinking,Mean
4139,SDs,Mean
4140,cesarean deliveries,Median
4141,K/uL,Mean
4142,IU/l,Mean
4143,Percentage of fat in the muscle,Mean
4144,percentage predicted,Mean
4145,(cm),Mean
4146,(mL/min/1.73m^2),Mean
4147,Milligram per Liter (mg/L),Median
4148,drinks,Mean
4149,score on a scale,Mean
4150,FEV1 Percentage (%),Mean
4151,Target to Background Ratio (TBR),Mean
4152,percentage of liters expected,Mean
4153,count,Median
4154,uU/mLx120 min,Median
4155,drinking days,Mean
4156,Kg*m^-2,Mean
4157,(ng/dL),Mean
4158,centimetres (cm),Mean
4159,sex acts,Least Squares Mean
4160,10^9 blood eosinophil/L,Mean
4161,surveillance exams,Count of Units
4162,square degrees of visual angle,Mean
4163,nanograms per milliliter (ng/mL),Mean
4164,centrimeters,Mean
4165,Percent of predicted,Mean
4166,μU/mL,Mean
4167,µg/g,Mean
4168,times,Mean
4169,10^5 bacterial cells,Mean
4170,Percentage,Median
4171,% of CD4+ T-cells,Median
4172,Picograms per milliliter (pg/mL),Median
4173,Units in Hamilton Scale,Mean
4174,Leaks/Day,Mean
4175,celsius,Mean
4176,percentage (%),Median
4177,therapies,Median
4178,Units of Insulin/kilogram/day (U/kg/day),Mean
4179,years (SD),Median
4180,°C,Median
4181,kilograms per square meter (kg/m²),Mean
4182,IU/mL,Number
4183,Letters read correctly,Mean
4184,minutes/day,Mean
4185,mm of Mercury,Mean
4186,mm/hr,Mean
4187,Percentage of predicted normal,Mean
4188,units of packed red blood cell,Median
4189,average number of bloating per day,Mean
4190,pregnancies delivered after 20 weeks,Mean
4191,Clinical Severity Score Units,Mean
4192,Milliliters,Mean
4193,Kilogram per meter square (kg/m^2),Mean
4194,kilogram per square meter(kg/m^2),Mean
4195,Proportion of items correct,Mean
4196,Number of Suicide Attempts in a Lifetime,Mean
4197,Pregnancies,Number
4198,Percent %,Mean
4199,number of correct responses,Median
4200,Families,Number
4201,liters/second,Mean
4202,number of PCP phone visits,Mean
4203,cells/mm^3],Median
4204,Miligram per Liter (mg/L),Median
4205,Percentage of cells,Median
4206,viable pregnancies,Median
4207,mL/mmHg x 10,Mean
4208,nmoles/liter,Median
4209,kilograms/meters squared (kg/m2),Mean
4210,Number of average residents,Median
4211,ICU mortality rate/year,Mean
4212,Subjects,Number
4213,mf/mL,Geometric Mean
4214,ratio (x 100),Mean
4215,milligram/deciliter (mg/dL),Mean
4216,ug/g stool,Mean
4217,Days,Number
4218,percent of overall work impairment,Mean
4219,Litres,Mean
4220,L/min,Median
4221,uM,Mean
4222,log10 copies/mL,Mean
4223,Cubic Centimeters,Median
4224,Centimeters (cm),Median
4225,micrograms per liter (μg/L),Mean
4226,Highest response schedule completed,Mean
4227,lb/in^2,Mean
4228,mV*ms,Mean
4229,number of alcoholic drinks per week,Mean
4230,Percentage of Predicted,Median
4231,cells x10^6/uL,Mean
4232,log10(copies/10^6 CD4+ T-cells),Median
4233,percentage of MQC,Mean
4234,um/ml/ul,Mean
4235,Percent HbA1c,Mean
4236,microns,Mean
4237,number of screenings,Mean
4238,MET-minutes per week,Median
4239,Total score,Mean
4240,Number of moderate/severe symptoms,Mean
4241,percentage of lymphocytes that are CD4+,Mean
4242,umol,Mean
4243,"gestational age, weeks",Mean
4244,Percentage of Scar Area,Mean
4245,sores on a scale,Mean
4246,words generated,Mean
4247,Number of treatment regimens,Median
4248,log10 IU/mL),Mean
4249,Liters/minute,Mean
4250,Diseases,Mean
4251,Joules per kg,Mean
4252,nocturia episode,Mean
4253,picogram per milliliter (pg/mL),Mean
4254,number of times quit smoking cigarettes,Mean
4255,g/mol Creatinine,Mean
4256,%Gag-specific IFN-gamma+ CD8+ T-cells,Median
4257,percent of liver fat,Mean
4258,Percent of predicted value,Mean
4259,ml/sec,Mean
4260,kg/m*2,Mean
4261,cigarettes,Mean
4262,millimeter (mm),Mean
4263,international units per liter,Mean
4264,dollars,Median
4265,% of haemoglobin,Mean
4266,number of pregnancies,Mean
4267,metastases,Number
4268,beats per minute (bpm),Mean
4269,Percent Predicted,Mean
4270,Conditions,Mean
4271,kilogram/ meter^2,Mean
4272,mIU/ml,Median
4273,average number of flatulence per day,Mean
4274,kilogram per meter squared,Mean
4275,units on a scale (range 5-25),Mean
4276,organs,Mean
4277,lifts,Mean
4278,percentage of time in target INR range,Mean
4279,(1/mU/L) x 1/Min,Mean
4280,dL/min per μU/mL;,Median
4281,ICUs,Number
4282,units per 28 days,Median
4283,Joules/second,Median
4284,patients,Number
4285,pounds (lb),Mean
4286,count/nL,Mean
4287,mcg/day,Mean
4288,3MSE Score,Mean
4289,meters squared (m^2),Median
4290,points awarded for correct items,Mean
4291,kPa,Mean
4292,Teeth,Number
4293,Exacerbations in the last 6 months,Mean
4294,grams / dL,Mean
4295,centimeters,Median
4296,nanomoles per liter,Mean
4297,dollars,Mean
4298,Percentage of LV blood volume,Mean
4299,minutes of physical activity in a week,Mean
4300,parks,Count of Units
4301,medications,Median
4302,micro Siemens,Mean
4303,Percent Ejection Fraction,Mean
4304,kilogram / meter^2 (kg/m^2),Mean
4305,percentage of glycated hemoglobin,Median
4306,mmHg/L/min,Mean
4307,donors/recipients pairs,Number
4308,1000/uL,Median
4309,Number of Swollen Joints,Mean
4310,Births,Median
4311,Copies/mL,Mean
4312,number of sites,Mean
4313,Nanomoles per Liter (nmol/L),Mean
4314,"Correct answers, percentage",Mean
4315,ln(ratio),Mean
4316,Hemoglobin Percent,Mean
4317,Number of Cramps,Mean
4318,Heart Rate,Count of Units
4319,mgMA/gCrt,Mean
4320,mL/day,Mean
4321,MSFC z-score,Mean
4322,(x10^9/L),Median
4323,percentage of BOLD signal change,Mean
4324,mL/min per 1.73m^2,Mean
4325,ug/mL,Mean
4326,HLA antigens,Mean
4327,meter squared (m^2),Mean
4328,Gram/Dl,Median
4329,units,Mean
4330,pads/24 hours,Mean
4331,ml/min/m2,Mean
4332,µIU/l,Median
4333,grams per square centimeter (g/cm^2),Mean
4334,Hounsfield Unit,Mean
4335,ng ml ^-1,Mean
4336,mL CO / min / mmHg,Mean
4337,CESD global score,Mean
4338,percent fall in FEV1,Mean
4339,milimoles per liter,Mean
4340,cluster headache attacks per week,Mean
4341,MADRS Score,Mean
4342,correct words,Mean
4343,scales on a scale,Mean
4344,days per month,Mean
4345,lbs.,Mean
4346,mm3,Median
4347,kU/l,Mean
4348,cells x 10^9/L,Median
4349,percentage error,Mean
4350,cells/μL,Mean
4351,individual lesions,Number
4352,Coughs/hour,Mean
4353,Number of prior treatment regimens,Median
4354,total tics,Mean
4355,"Units on a scale (0 = worst, 1 = best).",Mean
4356,Liters per minute (L/min),Mean
4357,log_10 copies/mL,Mean
4358,number of fingers,Mean
4359,Number of relapses,Mean
4360,grams,Mean
4361,milliliter per log10*liter [mL/log10(L)],Mean
4362,mEq/L,Mean
4363,Units on a scale (0 to 6000),Mean
4364,micromol/L,Geometric Mean
4365,10^6 units IU/mL,Mean
4366,eyes,Number
4367,log10 colony forming units/mL of CSF,Median
4368,mmol*hr/L,Mean
4369,Percent change from pre-exercise measure,Mean
4370,Number of Regimens,Mean
4371,m^2,Median
4372,percentage of toenail,Mean
4373,micromol per litre,Mean
4374,g/day,Median
4375,days after birth,Mean
4376,% of white cells that are CD4 cells,Median
4377,ETDRS letter,Median
4378,Bleeding events per year (ABR),Mean
4379,microunits per milliliter,Mean
4380,Trials completed,Number
4381,Counts per day,Mean
4382,% change during baseline clamp,Mean
4383,Voids,Mean
4384,Percent (%) body weight,Median
4385,Nights per week,Median
4386,units on a scale 0 to 75 higher worse,Mean
4387,picograms/milliliter,Mean
4388,Percentage of blood leaving the heart,Mean
4389,Mean pulmonary artery pressure (mm Hg),Mean
4390,number of nights,Mean
4391,µg/h,Median
4392,percentage of diameter stenosis,Mean
4393,grams per deciliter,Median
4394,score on a scale (30 good- 0 poor),Median
4395,Ocular Surgeries,Mean
4396,mg*hr/dl,Mean
4397,units on the scale,Mean
4398,Decibels hearing level,Mean
4399,Kilograms/m2,Mean
4400,centimeter,Mean
4401,percent of impairment while working,Mean
4402,Percent of predicted normal value,Mean
4403,mL/m2,Mean
4404,Watts,Mean
4405,Kilogram,Mean
4406,Kilopascals,Mean
4407,Body Weight,Mean
4408,liters per minute,Mean
4409,logMAR lines,Mean
4410,Units of red blood cell,Mean
4411,units/liter,Mean
4412,micturitions per 24 hours,Mean
4413,Standard Drinks,Mean
4414,mg/dL,Geometric Mean
4415,Minutes per week,Median
4416,percent probablity of breast cancer,Mean
4417,kg/m^2 scale,Mean
4418,Acne Lesion Counts,Mean
4419,mg/m^2,Mean
4420,LOG10 IU/mL,Median
4421,mm HG,Mean
4422,Number of medication times per day,Mean
4423,ug/mg,Mean
4424,cell/µL,Mean
4425,Hounsfield units,Mean
4426,kilograms per meter-squared,Mean
4427,"units on a scale, range 0 to 71",Median
4428,pads,Mean
4429,events / hour,Mean
4430,milligrams per deciliter (mg/dL),Mean
4431,hours (hr),Mean
4432,total score,Mean
4433,μM/ml,Mean
4434,mg*hr/dL,Mean
4435,number of anti-hypertensive medications,Mean
4436,Microgram per milliliter (μg/mL),Median
4437,micrograms (mcg),Mean
4438,gm/dl,Median
4439,Objects,Median
4440,years of age,Mean
4441,kilograms per square meter,Median
4442,Units on scale -50 to +50,Mean
4443,Meters,Median
4444,kg/square meter,Mean
4445,number of coadministered drugs,Mean
4446,percent glycated hemoglobin,Mean
4447,platelets *10^9 per L,Mean
4448,10E8/kg,Median
4449,Events,Mean
4450,years since stroke,Median
4451,mg²/dL²,Median
4452,units on a scale (score),Mean
4453,mm/Hg,Mean
4454,nmol/L/Min,Mean
4455,Millisecond (msec),Mean
4456,body fat percentage,Mean
4457,uU*min/mL,Mean
4458,dB/m,Median
4459,milliunits per milliliter (mU/mL),Mean
4460,target joints,Mean
4461,micromoles per Liter (μmol/L),Mean
4462,text messages per day,Median
4463,hosptial Admissions,Number
4464,arrests,Mean
4465,Litters,Mean
4466,albumin (mg/dL): creatinin (g/dL),Mean
4467,mg/kg/min,Mean
4468,Millimeters of Mercury (mmHg),Mean
4469,Severity Score,Mean
4470,percentage of gynoid fat,Median
4471,Month,Number
4472,percentage of maximum HAQ score,Mean
4473,Weeks,Median
4474,breaths per minute,Mean
4475,T score,Mean
4476,log MAR,Mean
4477,Inhales per day,Mean
4478,Number of Patients in ITT analysis set,Number
4479,microaneurysms,Mean
4480,Dry Nights,Mean
4481,IR score,Mean
4482,mmol/l,Mean
4483,millimoles per liter (mmol/L),Mean
4484,N/°,Mean
4485,% of predicted max value,Mean
4486,10E9 platelets/L,Median
4487,mean percentage of error (prosaccade),Mean
4488,Pressure Ulcers,Number
4489,Giga platelets per liter,Mean
4490,% of inspired oxygen,Median
4491,number of teeth,Mean
4492,cells x 10^9/L,Geometric Mean
4493,μM (micromolar),Mean
4494,Ratio (arbitrary units),Mean
4495,scores on a scale,Number
4496,10yr Framingham CHD risk (%),Median
4497,mmol day-1,Mean
4498,number of participants with pathogenes,Number
4499,ml/min per 1.73m^2,Mean
4500,study eyes,Number
4501,Agents of chemotherapy,Median
4502,cycles/year,Mean
4503,mm/dL,Mean
4504,mg/dl,Median
4505,voids,Mean
4506,postmenstural age (weeks),Mean
4507,cigarettes/day,Mean
4508,kg/m*m,Median
4509,cells x10^3/uL,Mean
4510,Percentage of total lymphocytes,Mean
4511,cesareans,Mean
4512,Emergency department encounters,Number
4513,units on a scale (percent),Median
4514,Shoulders,Number
4515,percentage of activity impairment,Mean
4516,ml/kg/minute,Mean
4517,Picogram (pg)/mL,Mean
4518,Inches,Mean
4519,Kg/m2,Mean
4520,percentage of osteoid volume,Mean
4521,Times per week,Mean
4522,beats per minute (BPM),Median
4523,IU/week/subject,Mean
4524,mm^2,Median
4525,Wounds,Number
4526,% - predicted mortality,Mean
4527,milliliters,Mean
4528,log(IU/mL),Mean
4529,Bethesda Units (BU)/mL,Mean
4530,min of total sleep time on a 8-hr PSG,Mean
4531,number of bDMARDs,Mean
4532,ml/kg/24 hours,Mean
4533,% of eosinophils,Median
4534,"""kg/m^2""",Mean
4535,Hot flashes,Mean
4536,beats per minute,Mean
4537,percent of white blood cells,Median
4538,participant records,Number
4539,weeks of GA,Mean
4540,Cedis per month,Mean
4541,Radiation Therapies,Median
4542,mL/m^2,Median
4543,mcg/kg,Mean
4544,milligrams per milliliter,Mean
4545,fmol/mL,Mean
4546,hours of nausea,Mean
4547,micrometers,Mean
4548,T-scores,Mean
4549,% of oxygen in blood,Mean
4550,percentage of haemoglobin,Mean
4551,number of deliveries,Mean
4552,weeks,Median
4553,Number of Gd enhancing lesions,Mean
4554,μmol/l,Mean
4555,Mood episodes,Mean
4556,ng/litre,Median
4557,percentage of body composition,Mean
4558,Breaths per minute,Median
4559,score on scale,Median
4560,Likert scale,Mean
4561,%CD69+ CD4+ T-cells,Median
4562,number of painful areas,Mean
4563,kg,Median
4564,FVC % predicted,Mean
4565,mean years of age,Mean
4566,log10 Colony Forming Units (CFU),Mean
4567,pH,Mean
4568,mm (mercury-equivalent),Mean
4569,Metabolic equivalent minutes (MET-min),Median
4570,z-score.,Mean
4571,weeks gestational age,Mean
4572,BMI unit = kg/m^2,Mean
4573,Microns,Mean
4574,10^7 HCV IU/mL,Mean
4575,percentage of fat,Median
4576,mm/h,Mean
4577,percentage of adherence,Mean
4578,kg/m^2,Geometric Mean
4579,ml/min/1.73 m^2,Median
4580,millimole/liter (mmol/L),Mean
4581,microfilaria/uL,Geometric Mean
4582,Months,Mean
4583,,
4584,dynes*second/centimeter^5 (dyn*sec/cm^5),Mean
4585,z-score BMI,Mean
4586,micro-mol/(kg*min),Mean
4587,episode/hour,Mean
4588,cells*10^3/L,Median
4589,Episodes per day,Mean
4590,mmol/L,Geometric Mean
4591,mL per min,Mean
4592,partners,Least Squares Mean
4593,(ng/mL),Mean
4594,nmol BCE/L,Mean
4595,Adherence - proportion,Mean
4596,Kg/m^2,Mean
4597,Bpm,Mean
4598,Units on as scale,Mean
4599,Antral follicle count,Mean
4600,Non-Inflammatory lesion,Mean
4601,% A1c,Mean
4602,Percentage of HbA1c,Mean
4603,Number of events,Number
4604,µIU/ml/120 min,Mean
4605,cells/ml,Median
4606,nanograms per millilitre (ng/mL),Mean
4607,Meters walked in 6 minutes,Median
4608,flanks,Count of Units
4609,Breaths/minute,Median
4610,correlation coefficient,Number
4611,Millimeters of mercury,Mean
4612,Days of predetermined treatment,Median
4613,LogMAR,Mean
4614,BMI (kg/m^2) Average,Mean
4615,Kilogram per meter square (Kg/m^2),Mean
4616,percent stenosis,Mean
4617,microgm/L,Mean
4618,square meters (m^2),Mean
4619,nights per week,Mean
4620,test sites on skin,Count of Units
4621,% of predicted,Mean
4622,1(disagree strongly)-5(agree strongly),Mean
4623,Kenya Shillings (Ksh.),Median
4624,cohabitants,Mean
4625,rpkm,Mean
4626,Peak weekly average score,Mean
4627,% of omega-3 index of RBC membrane,Mean
4628,Percent of total hemoglobin,Mean
4629,female participants,Number
4630,Number of subjects,Number
4631,calculated score (high= high acuity),Mean
4632,Number of leaks per 24-hour period,Mean
4633,miles,Median
4634,percentage diameter stenosis,Mean
4635,Male-female couples,Count of Units
4636,platelets x 10^9/L,Mean
4637,beats per min (bpm),Mean
4638,Physical Score,Mean
4639,mm hg,Mean
4640,kgf,Median
4641,GRAMS,Median
4642,Patients,Number
4643,number of prior therapies,Median
4644,Percentage (%) of HbA1c,Mean
4645,number of heart failure medications,Median
4646,percentage of male participants,Number
4647,micrograms per kilogram (mcg/kg),Median
4648,International Unit/Milliliter (IU/mL),Mean
4649,L/L,Mean
4650,femtoliter,Mean
4651,minutes,Median
4652,nanogram per milliliter (ng/mL),Median
4653,mm,Number
4654,Percent of glycosylated hemoglobin,Mean
4655,percent saturation (Fe/TIBC),Mean
4656,Adults,Mean
4657,BOLD signal,Mean
4658,articipants,Number
4659,second,Mean
4660,Percentage of A1C,Mean
4661,mL/min/1.73m^2,Mean
4662,%,Number
4663,chemotherapy regimens,Median
4664,nanogram/milliliter*minute (ng/mL*min),Mean
4665,in,Mean
4666,nanograms (ng)/mL per hour,Mean
4667,Unit on Scale,Mean
4668,Percentage correct sentence production,Mean
4669,Percentage (glycosolated hemoglobin),Mean
4670,centimeters (cm),Mean
4671,%of blood leaving the heart /beat,Mean
4672,m,Median
4673,seconds of arc (arcsec),Median
4674,kilogram (kg),Mean
4675,kg per m squared,Mean
4676,opioids,Mean
4677,micrograms,Mean
4678,micro International Units per milliliter,Mean
4679,Hours since birth,Mean
4680,Likert score scale of agreement (1-5),Mean
4681,Centimeter [cm],Mean
4682,Meter/second (m/s),Mean
4683,celsius,Median
